Title,Price,Link,Rating
Habitación en Barcelona,37 € ,https://www.airbnb.es/rooms/1250596158560857664?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1997839760&search_mode=regular_search&check_in=2024-11-03&check_out=2024-11-08&source_impression_id=p3_1730399235_P34uQiDfquz9sbJx&previous_page_section_name=1000,Nuevo
Apartamento en Barcelona,133 € ,https://www.airbnb.es/rooms/1110775765657684157?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1730399235_P3pDr0O-njM3ijVO&previous_page_section_name=1000,"4,89 (293)"
Habitación en Barcelona,50 € ,https://www.airbnb.es/rooms/1239053049458811288?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1988110422&search_mode=regular_search&check_in=2024-11-09&check_out=2024-11-14&source_impression_id=p3_1730399235_P3rV5PGEHKuvSCQ6&previous_page_section_name=1000,"4,83 (6)"
Habitación en Barcelona,61 € ,https://www.airbnb.es/rooms/1170109696564078969?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1921572494&search_mode=regular_search&check_in=2024-12-06&check_out=2024-12-11&source_impression_id=p3_1730399235_P3l2kl01mKasLYFt&previous_page_section_name=1000,"5,0 (14)"
Habitación en Barcelona,53 € ,https://www.airbnb.es/rooms/625262449163269463?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1439087892&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730399235_P3l3MPpndZ1nwcTG&previous_page_section_name=1000,"4,6 (202)"
Habitación en Rubí,30 € ,https://www.airbnb.es/rooms/1105736707826848369?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1854539356&search_mode=regular_search&check_in=2024-11-01&check_out=2024-11-06&source_impression_id=p3_1730399235_P3YNTvEvdf9nd2hx&previous_page_section_name=1000,"3,29 (7)"
Apartamento en Barcelona,126 € ,https://www.airbnb.es/rooms/2510966?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1730399235_P3kffNdJR3SR4INd&previous_page_section_name=1000,"4,36 (559)"
Apartamento en L'Hospitalet de Llobregat,58 € ,https://www.airbnb.es/rooms/1156411796973561184?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-03&check_out=2024-11-08&source_impression_id=p3_1730399235_P3kfl2qYL7jq4gcT&previous_page_section_name=1000,"4,2 (15)"
Apartamento en Barcelona,111 € ,https://www.airbnb.es/rooms/12236695?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-08&check_out=2024-12-13&source_impression_id=p3_1730399235_P3tGGllxDXK52ibV&previous_page_section_name=1000,"4,83 (376)"
Loft en Sant Joan de Vilatorrada,64 € ,https://www.airbnb.es/rooms/615664386832263064?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730399235_P3jcWte9s9Q6DEnd&previous_page_section_name=1000,"4,89 (103)"
Apartamento en Arenys de Mar,75 € ,https://www.airbnb.es/rooms/944958906705703246?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-03&check_out=2024-11-08&source_impression_id=p3_1730399235_P3vmLnrIR7oUqcY3&previous_page_section_name=1000,"4,66 (116)"
Habitación en L'Hospitalet de Llobregat,36 € ,https://www.airbnb.es/rooms/1125225051629566511?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1873544940&search_mode=regular_search&check_in=2024-12-07&check_out=2024-12-12&source_impression_id=p3_1730399235_P3E0la-0GLquAaJ1&previous_page_section_name=1000,"4,92 (59)"
Apartamento en Canet de Mar,72 € ,https://www.airbnb.es/rooms/13611645?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-08&check_out=2024-12-13&source_impression_id=p3_1730399235_P3WbiNfo9G7Tx4Jg&previous_page_section_name=1000,"4,77 (172)"
Habitación en Castelldefels,41 € ,https://www.airbnb.es/rooms/929475558607641561?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1765041558&search_mode=regular_search&check_in=2024-11-22&check_out=2024-11-27&source_impression_id=p3_1730399235_P3qoMDOuYlY_Cnuq&previous_page_section_name=1000,"4,9 (126)"
Habitación en Barcelona,59 € ,https://www.airbnb.es/rooms/545602057442226577?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1559365984&search_mode=regular_search&check_in=2024-11-30&check_out=2024-12-05&source_impression_id=p3_1730399235_P3lUN2LAnfVUg69m&previous_page_section_name=1000,"4,91 (244)"
Habitación compartida en Barcelona,39 € ,https://www.airbnb.es/rooms/563553175219651122?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-02&check_out=2024-11-07&source_impression_id=p3_1730399239_P3eCyI3LfDnpEiJ2&previous_page_section_name=1000,"4,48 (279)"
Habitación en Barcelona,47 € ,https://www.airbnb.es/rooms/1245887789316430717?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1993941933&search_mode=regular_search&check_in=2024-11-25&check_out=2024-11-30&source_impression_id=p3_1730399239_P392lKMN0hZhGRXH&previous_page_section_name=1000,"4,44 (9)"
Habitación en Castelldefels,41 € ,https://www.airbnb.es/rooms/929475558607641561?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1765041558&search_mode=regular_search&check_in=2024-11-22&check_out=2024-11-27&source_impression_id=p3_1730399239_P3d12UtzzeXK4uuj&previous_page_section_name=1000,"4,9 (126)"
Habitación en Vic,33 € ,https://www.airbnb.es/rooms/33212160?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1899034073&search_mode=regular_search&check_in=2024-11-02&check_out=2024-11-07&source_impression_id=p3_1730399239_P3-21C3X_0qlYtp-&previous_page_section_name=1000,"4,83 (175)"
Apartamento en Barcelona,129 € ,https://www.airbnb.es/rooms/719440411250596953?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730399239_P3N6WQXk4m34j4tx&previous_page_section_name=1000,"4,9 (155)"
Habitación en Barcelona,59 € ,https://www.airbnb.es/rooms/545602057442226577?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1559365984&search_mode=regular_search&check_in=2024-11-30&check_out=2024-12-05&source_impression_id=p3_1730399239_P3O44o5OWOtE0OmU&previous_page_section_name=1000,"4,91 (244)"
Habitación en Barcelona,71 € ,https://www.airbnb.es/rooms/1222003173128366994?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1985255593&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1730399239_P3LDZ85raCt7X1_r&previous_page_section_name=1000,"5,0 (9)"
Habitación en Lliçà d'Amunt,51 € ,https://www.airbnb.es/rooms/1275207546752364565?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2018046322&search_mode=regular_search&check_in=2024-11-01&check_out=2024-11-06&source_impression_id=p3_1730399239_P3fcfs4Gs3IgvDww&previous_page_section_name=1000,Nuevo
Habitación en Barcelona,34 € ,https://www.airbnb.es/rooms/995412486481049630?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1857008330&search_mode=regular_search&check_in=2024-11-15&check_out=2024-11-20&source_impression_id=p3_1730399239_P3m1cz2dKOJKqwQB&previous_page_section_name=1000,"4,68 (38)"
Habitación en Barcelona,43 € ,https://www.airbnb.es/rooms/15593934?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1756964401&search_mode=regular_search&check_in=2025-01-10&check_out=2025-01-15&source_impression_id=p3_1730399239_P3psfCl7l1k3ZReT&previous_page_section_name=1000,"4,81 (504)"
Loft en Balsareny,72 € ,https://www.airbnb.es/rooms/10959102?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-03&check_out=2024-11-08&source_impression_id=p3_1730399239_P3krPiu1Yva2zxfk&previous_page_section_name=1000,"4,9 (288)"
Habitación en Terrassa,45 € ,https://www.airbnb.es/rooms/48407215?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1146671255&search_mode=regular_search&check_in=2024-11-04&check_out=2024-11-09&source_impression_id=p3_1730399239_P3pBTwOGOhP5F-jc&previous_page_section_name=1000,"4,92 (200)"
Habitación en Barcelona,38 € ,https://www.airbnb.es/rooms/1078812293027189391?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1844927832&search_mode=regular_search&check_in=2024-11-16&check_out=2024-11-21&source_impression_id=p3_1730399239_P3RaHvN1AqTBenVI&previous_page_section_name=1000,"4,55 (44)"
Suite con entrada independiente en Sant Pere de Ribes,150 € ,https://www.airbnb.es/rooms/32187543?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-15&check_out=2024-11-20&source_impression_id=p3_1730399239_P3KAC7J5ddXWm7f8&previous_page_section_name=1000,"4,89 (363)"
Habitación en Barcelona,53 € ,https://www.airbnb.es/rooms/1169466784064130971?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1947896425&search_mode=regular_search&check_in=2024-11-09&check_out=2024-11-14&source_impression_id=p3_1730399239_P3_Oy5BlN-J0HqfV&previous_page_section_name=1000,"4,84 (19)"
Alojamiento en Barcelona,68 € ,https://www.airbnb.es/rooms/1192692130835760091?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-21&check_out=2024-11-26&source_impression_id=p3_1730399239_P391DEwCEzB7_5WD&previous_page_section_name=1000,"5,0 (4)"
Habitación en L'Hospitalet de Llobregat,49 € ,https://www.airbnb.es/rooms/1234036877802738824?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1984024808&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730399239_P3k6SDwaRgIj6Jx4&previous_page_section_name=1000,"5,0 (3)"
Apto. residencial en Granollers,95 € ,https://www.airbnb.es/rooms/21278190?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-04&check_out=2024-11-09&source_impression_id=p3_1730399239_P3Fp2QBM4n1enpRG&previous_page_section_name=1000,"4,94 (154)"
